epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1627.1,0.59959,1.11695,0.47118,0.97372,0.9161,0.89739,0.96049,0.82824,0.91206,0.89344,0.9551,0.75751,0.55768,0.97968,0.42636,0.8531,0.00333257,0.00333257,0.00333257
2,3157.83,0.63888,1.18444,0.51353,0.99091,0.91009,0.89717,0.95579,0.81404,0.90327,0.89425,0.95038,0.74607,0.58822,1.00427,0.45845,0.8792,0.00664941,0.00664941,0.00664941
3,4741.1,0.6985,1.29849,0.57864,1.01961,0.89624,0.89278,0.94895,0.79685,0.89194,0.88944,0.94129,0.72245,0.60857,1.06154,0.48231,0.89434,0.00994974,0.00994974,0.00994974
4,6238.8,0.7409,1.39019,0.62234,1.04089,0.90275,0.89444,0.95272,0.80175,0.89594,0.88965,0.94684,0.73099,0.60931,1.0555,0.47206,0.89715,0.00992575,0.00992575,0.00992575
5,7706.43,0.73082,1.36969,0.61203,1.03568,0.90552,0.89761,0.95401,0.80772,0.89881,0.89507,0.94685,0.73649,0.59559,1.0404,0.46031,0.88657,0.009901,0.009901,0.009901
6,9153.67,0.72895,1.36441,0.60857,1.03598,0.90439,0.90023,0.95503,0.81126,0.89916,0.89811,0.94836,0.74035,0.58987,1.02189,0.44837,0.8843,0.00987625,0.00987625,0.00987625
7,10607.2,0.72362,1.35474,0.60346,1.03318,0.90134,0.90534,0.9563,0.81628,0.89697,0.90095,0.9497,0.74521,0.58092,1.01201,0.44125,0.87769,0.0098515,0.0098515,0.0098515
8,12123,0.71899,1.34533,0.59958,1.03116,0.89974,0.90489,0.95686,0.81876,0.89652,0.90345,0.9513,0.74843,0.57457,1.00237,0.43864,0.87198,0.00982675,0.00982675,0.00982675
9,13631.7,0.71621,1.3457,0.59606,1.03013,0.90334,0.90485,0.95715,0.81972,0.89944,0.90345,0.95204,0.7495,0.57529,0.99888,0.43364,0.87163,0.009802,0.009802,0.009802
10,15213.7,0.71117,1.33365,0.59188,1.02736,0.90442,0.90457,0.95784,0.82162,0.90045,0.90191,0.95262,0.75081,0.57048,0.99422,0.43047,0.8702,0.00977725,0.00977725,0.00977725
11,16791.6,0.71092,1.33369,0.59227,1.02817,0.90203,0.90651,0.95783,0.82221,0.90014,0.90195,0.95184,0.75094,0.56755,0.99248,0.42865,0.86978,0.0097525,0.0097525,0.0097525
12,18372.5,0.70702,1.32599,0.58823,1.02499,0.90351,0.90679,0.95862,0.82307,0.90007,0.90334,0.95219,0.75177,0.56788,0.99129,0.42724,0.86997,0.00972775,0.00972775,0.00972775
13,19957.2,0.70456,1.32428,0.58331,1.02437,0.90542,0.90507,0.95827,0.82349,0.90144,0.9019,0.95187,0.75166,0.56786,0.98938,0.4261,0.86998,0.009703,0.009703,0.009703
14,21517.8,0.70436,1.32416,0.58436,1.0244,0.90481,0.90657,0.95849,0.82337,0.90196,0.90301,0.95222,0.75236,0.56677,0.98844,0.42496,0.86954,0.00967825,0.00967825,0.00967825
15,23103.2,0.70287,1.31925,0.58489,1.02248,0.90389,0.90751,0.9584,0.82399,0.90189,0.90334,0.95222,0.75295,0.56557,0.98731,0.42415,0.86935,0.0096535,0.0096535,0.0096535
16,24682.5,0.70239,1.31797,0.58275,1.02271,0.90322,0.90851,0.95861,0.82464,0.90072,0.90423,0.9526,0.75343,0.56563,0.98689,0.42346,0.86941,0.00962875,0.00962875,0.00962875
