epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1626.26,0.95265,1.97842,1.25398,1.1516,0.85516,0.85173,0.90598,0.69112,0.8478,0.83982,0.89039,0.62403,0.79465,1.43158,0.77499,1.00518,0.00333257,0.00333257,0.00333257
2,3136.6,0.87356,1.67074,0.83292,1.09828,0.87807,0.85735,0.92444,0.72332,0.863,0.85029,0.91081,0.65128,0.75425,1.32119,0.63208,0.99197,0.00664941,0.00664941,0.00664941
3,4654.34,0.89357,1.69205,0.80252,1.11325,0.86968,0.86069,0.92431,0.73175,0.86382,0.84945,0.91007,0.66001,0.73305,1.3039,0.6191,0.98206,0.00994974,0.00994974,0.00994974
4,6139.08,0.86817,1.65317,0.76341,1.10429,0.88355,0.87309,0.93759,0.75993,0.87518,0.86642,0.92651,0.68567,0.68037,1.20986,0.5491,0.94683,0.00992575,0.00992575,0.00992575
5,7619.99,0.81746,1.55572,0.70685,1.07962,0.89112,0.87849,0.94255,0.77477,0.88353,0.87249,0.9314,0.70056,0.65561,1.16086,0.51703,0.92853,0.009901,0.009901,0.009901
6,9112.93,0.79568,1.51356,0.68383,1.07074,0.9001,0.88104,0.94618,0.78602,0.89472,0.87498,0.9372,0.71084,0.63808,1.12293,0.49378,0.91782,0.00987625,0.00987625,0.00987625
7,10601.4,0.78093,1.48285,0.6683,1.06223,0.89631,0.88938,0.95028,0.79474,0.8905,0.88649,0.94275,0.72148,0.62344,1.09239,0.47851,0.90715,0.0098515,0.0098515,0.0098515
8,12092.6,0.76567,1.45327,0.65312,1.05535,0.89826,0.88969,0.94978,0.7985,0.89571,0.88432,0.943,0.72522,0.61166,1.0823,0.47316,0.90002,0.00982675,0.00982675,0.00982675
9,13581.7,0.75713,1.4429,0.64279,1.05157,0.89876,0.89169,0.95147,0.80278,0.89572,0.88822,0.94447,0.72931,0.60568,1.06715,0.4641,0.89562,0.009802,0.009802,0.009802
10,15071.9,0.74911,1.42089,0.63454,1.0463,0.89845,0.89452,0.95222,0.80447,0.89651,0.88944,0.94507,0.73111,0.6022,1.05812,0.45931,0.89294,0.00977725,0.00977725,0.00977725
11,16560.3,0.74442,1.41344,0.6295,1.04405,0.89986,0.89658,0.95381,0.80853,0.89836,0.89133,0.94694,0.73549,0.59508,1.04955,0.45488,0.8876,0.0097525,0.0097525,0.0097525
12,18050.5,0.73824,1.39706,0.62178,1.03977,0.90224,0.89951,0.95418,0.81032,0.89754,0.89592,0.94759,0.7364,0.5918,1.04489,0.45109,0.88571,0.00972775,0.00972775,0.00972775
13,19540.8,0.7336,1.39095,0.61742,1.03856,0.90194,0.90112,0.95435,0.81098,0.89717,0.89811,0.94793,0.73725,0.59077,1.04033,0.44992,0.88456,0.009703,0.009703,0.009703
14,21030,0.73124,1.38769,0.61684,1.038,0.90221,0.89928,0.9545,0.81161,0.89954,0.89511,0.94794,0.73811,0.58909,1.03777,0.44839,0.88307,0.00967825,0.00967825,0.00967825
15,22524.7,0.7291,1.38024,0.61249,1.03484,0.9025,0.89912,0.95483,0.81286,0.90014,0.89511,0.94826,0.73938,0.58698,1.03461,0.44724,0.88198,0.0096535,0.0096535,0.0096535
16,24012,0.72659,1.37515,0.60841,1.03467,0.90438,0.89817,0.95519,0.81331,0.90096,0.89478,0.94858,0.73977,0.58559,1.03189,0.44533,0.88085,0.00962875,0.00962875,0.00962875
17,25501,0.72409,1.37278,0.6069,1.03348,0.9047,0.89961,0.9554,0.81397,0.9009,0.89639,0.94897,0.7406,0.58431,1.02959,0.44371,0.88015,0.009604,0.009604,0.009604
18,26989.5,0.7219,1.36423,0.60525,1.03197,0.90586,0.89961,0.95547,0.81426,0.90142,0.89656,0.94903,0.74143,0.5834,1.02814,0.44289,0.87937,0.00957925,0.00957925,0.00957925
19,28485.2,0.7192,1.3617,0.60226,1.03102,0.90549,0.89995,0.95561,0.81489,0.90191,0.89639,0.94942,0.74153,0.58298,1.02626,0.44205,0.87917,0.0095545,0.0095545,0.0095545
20,29975.6,0.71975,1.36002,0.60158,1.03033,0.90725,0.89811,0.95588,0.81535,0.9023,0.89528,0.94955,0.74168,0.58228,1.02427,0.44115,0.87863,0.00952975,0.00952975,0.00952975
21,31533.5,0.71784,1.35328,0.60104,1.03012,0.90818,0.89773,0.95596,0.81552,0.90322,0.89483,0.94978,0.74218,0.58137,1.0235,0.44081,0.87811,0.009505,0.009505,0.009505
22,33090.4,0.71585,1.35286,0.59943,1.03045,0.90872,0.89745,0.95624,0.81619,0.903,0.89528,0.94992,0.74265,0.58071,1.02182,0.44029,0.8775,0.00948025,0.00948025,0.00948025
23,34649.4,0.71536,1.3519,0.59723,1.02924,0.9078,0.89817,0.9564,0.81661,0.90355,0.89528,0.95015,0.74339,0.58022,1.02051,0.43949,0.87715,0.0094555,0.0094555,0.0094555
24,36208.4,0.71448,1.35074,0.5953,1.0284,0.90892,0.89817,0.95658,0.81704,0.90457,0.89478,0.95072,0.74378,0.57977,1.01923,0.43866,0.87671,0.00943075,0.00943075,0.00943075
25,37768.4,0.71092,1.34271,0.5944,1.02708,0.9097,0.89823,0.95673,0.81722,0.90425,0.89578,0.95077,0.74416,0.57932,1.01766,0.43807,0.87629,0.009406,0.009406,0.009406
26,39326.7,0.70975,1.34272,0.59109,1.02607,0.91007,0.89722,0.9569,0.81756,0.9062,0.89402,0.95113,0.74437,0.57882,1.01655,0.43743,0.87596,0.00938125,0.00938125,0.00938125
27,40890.9,0.70902,1.3361,0.59159,1.02479,0.90931,0.89806,0.95709,0.8182,0.90391,0.895,0.95065,0.74505,0.57781,1.01475,0.43682,0.87529,0.0093565,0.0093565,0.0093565
28,42448.3,0.71021,1.33895,0.59231,1.02721,0.90768,0.89949,0.95711,0.8184,0.9037,0.896,0.95054,0.74524,0.5771,1.01363,0.43609,0.87496,0.00933175,0.00933175,0.00933175
